word_id,H_human,H_model,entropy_quartile,overlap_at_5,weighted_overlap_at_5,overlap_at_10,weighted_overlap_at_10,overlap_at_20,weighted_overlap_at_20,overlap_at_50,weighted_overlap_at_50,overlap_at_100,weighted_overlap_at_100
прежняя,2.6948466593239173,0.7076271637420206,Q3,0.16129032258064516,0.2871287128712871,0.1935483870967742,0.3069306930693069,0.1935483870967742,0.3069306930693069,0.1935483870967742,0.3069306930693069,0.1935483870967742,0.3069306930693069
прибыльных,1.968693208504934,1.3155089359008427,Q2,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999
пригрозили,2.5400363038209792,0.6623682240053022,Q3,0.07692307692307693,0.0714285714285714,0.07692307692307693,0.0714285714285714,0.07692307692307693,0.0714285714285714,0.07692307692307693,0.0714285714285714,0.07692307692307693,0.0714285714285714
противник,1.1240357221909014,0.9969594193873833,Q1,0.16666666666666666,0.0625,0.16666666666666666,0.0625,0.16666666666666666,0.0625,0.16666666666666666,0.0625,0.16666666666666666,0.0625
раритетных,1.5065950881316374,0.9883609000756347,Q1,0.0,0.0,0.14285714285714285,0.5333333333333333,0.14285714285714285,0.5333333333333333,0.14285714285714285,0.5333333333333333,0.14285714285714285,0.5333333333333333
растяжение,2.341994252232424,1.2457947719924316,Q3,0.18181818181818182,0.2142857142857142,0.18181818181818182,0.2142857142857142,0.18181818181818182,0.2142857142857142,0.18181818181818182,0.2142857142857142,0.18181818181818182,0.2142857142857142
расходу,2.9238240006857112,0.3241350530924566,Q4,0.1111111111111111,0.4492753623188405,0.1111111111111111,0.4492753623188405,0.1111111111111111,0.4492753623188405,0.1111111111111111,0.4492753623188405,0.1111111111111111,0.4492753623188405
реки,1.5979244221413411,1.3294084774173085,Q1,0.2857142857142857,0.818181818181818,0.2857142857142857,0.818181818181818,0.2857142857142857,0.818181818181818,0.2857142857142857,0.818181818181818,0.2857142857142857,0.818181818181818
ремешок,2.6992831687985244,1.6528997180579728,Q3,0.034482758620689655,0.074074074074074,0.10344827586206896,0.38271604938271586,0.13793103448275862,0.4444444444444442,0.13793103448275862,0.4444444444444442,0.13793103448275862,0.4444444444444442
розетки,3.4884808444676794,0.8805500511228966,Q4,0.07692307692307693,0.20253164556962008,0.10256410256410256,0.3037974683544302,0.10256410256410256,0.3037974683544302,0.10256410256410256,0.3037974683544302,0.10256410256410256,0.3037974683544302
росли,2.5209026864206234,1.1583131000522515,Q3,0.06666666666666667,0.2631578947368421,0.2,0.3684210526315789,0.2,0.3684210526315789,0.26666666666666666,0.42105263157894735,0.26666666666666666,0.42105263157894735
рот,2.6487384069661535,1.0155065651034558,Q3,0.11428571428571428,0.294642857142857,0.11428571428571428,0.294642857142857,0.11428571428571428,0.294642857142857,0.11428571428571428,0.294642857142857,0.11428571428571428,0.294642857142857
рубильник,1.8864851602714512,1.0725634714227437,Q2,0.2222222222222222,0.3529411764705882,0.2222222222222222,0.3529411764705882,0.2222222222222222,0.3529411764705882,0.2222222222222222,0.3529411764705882,0.2222222222222222,0.3529411764705882
русалки,3.677173125011044,0.6711612354614819,Q4,0.019230769230769232,0.0843373493975903,0.019230769230769232,0.0843373493975903,0.038461538461538464,0.1927710843373493,0.038461538461538464,0.1927710843373493,0.038461538461538464,0.1927710843373493
рыбу,1.129113519979656,0.9605941113225702,Q1,0.07692307692307693,0.7794117647058822,0.15384615384615385,0.8088235294117645,0.15384615384615385,0.8088235294117645,0.15384615384615385,0.8088235294117645,0.15384615384615385,0.8088235294117645
рыть,2.5665989181145106,1.0209688165794892,Q3,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625,0.07142857142857142,0.0625
сгущенки,2.845638493134253,0.9030847019671171,Q4,0.1111111111111111,0.2083333333333332,0.16666666666666666,0.2499999999999998,0.16666666666666666,0.2499999999999998,0.16666666666666666,0.2499999999999998,0.16666666666666666,0.2499999999999998
семья,2.013805893852346,1.3141030654348882,Q2,0.3,0.4736842105263157,0.3,0.4736842105263157,0.3,0.4736842105263157,0.3,0.4736842105263157,0.3,0.4736842105263157
сечь,2.36060911398924,1.3226234905231322,Q3,0.08333333333333333,0.1875,0.08333333333333333,0.1875,0.08333333333333333,0.1875,0.08333333333333333,0.1875,0.08333333333333333,0.1875
снег,2.289596871877651,0.764995440957329,Q2,0.18181818181818182,0.5121951219512194,0.18181818181818182,0.5121951219512194,0.18181818181818182,0.5121951219512194,0.18181818181818182,0.5121951219512194,0.18181818181818182,0.5121951219512194
собака,3.2178466808088215,0.8983543331066877,Q4,0.0625,0.0576923076923076,0.09375,0.0769230769230768,0.125,0.1538461538461537,0.1875,0.2115384615384613,0.1875,0.2115384615384613
